FaultName,FaultID,State,SiteName,SCECId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM7ObjectName,Observation,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,UCERF3AppB,ShortReferences,Links,FullReferences
San Cayetano,237,CA,Mud Creek,S-0280,SR-0262,-119.038563453000,34.423465911300,0.12,WTRA-SCFZ-TOPA-San_Cayetano_fault-CFM5,"Most of the uncertainty comes from the dating constraints, surface could be either Q5a (15 - 20 ka) or Q4 (8 - 12 ka).",2.35,1.8,2.8,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; two rates listed given large uncertainty in age control; currently include the slower of the two rates as this agrees with above,Q5 or Q4 surface,soil development,unlisted,11-130,5,35,yes,Rockwell (1988),https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2,"Rockwell, T.K., 1988, Neotectonics of San Cayetano Fault, Transverse Ranges, California: Geological Society of America Bulletin, v. 100, no. 4, p. 500-513. https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2"
San Cayetano,237,CA,Sisar Creek,S-0276,SR-0258,-119.134152164000,34.442280892300,0.29,WTRA-SCFZ-TOPA-San_Cayetano_fault-CFM5,"Small total offset suggests a limited number of events (or missing slip?). Offset age based on soil development, this could be improved if there are new radiometric age estimates. Reported rate assumes 45 degree dipping fault.",1.05,1.03,1.07,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),alluvial surface,soil development,unlisted,11-130,5,35,yes,Rockwell (1988),https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2,"Rockwell, T.K., 1988, Neotectonics of San Cayetano Fault, Transverse Ranges, California: Geological Society of America Bulletin, v. 100, no. 4, p. 500-513. https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2"
San Cayetano,237,CA,Timber Canyon,S-0278,SR-0260,-119.013631366000,34.422023440000,0.07,WTRA-SCFZ-TOPA-San_Cayetano_fault-CFM5,,8.7,6.8,10.6,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),correlation/cross section,soil development?,unlisted,130-750,5,35,yes,Rockwell (1988),https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2,"Rockwell, T.K., 1988, Neotectonics of San Cayetano Fault, Transverse Ranges, California: Geological Society of America Bulletin, v. 100, no. 4, p. 500-513. https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2"
San Cayetano,237,CA,Timber Canyon,S-0279,SR-0261,-119.013631366000,34.422023440000,0.07,WTRA-SCFZ-TOPA-San_Cayetano_fault-CFM5,,3.6,3.2,4,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; pref rate listed as a minimum),alluvial surface,soil development,unlisted,1-11,5,35,yes,Rockwell (1988),https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2,"Rockwell, T.K., 1988, Neotectonics of San Cayetano Fault, Transverse Ranges, California: Geological Society of America Bulletin, v. 100, no. 4, p. 500-513. https://doi.org/10.1130/0016-7606(1988)100%3C0500:NOTSCF%3E2.3.CO;2"
San Diego Trough (north),239,CA,San Gabriel Channel,S-0281,SR-0264,-118.136392037000,33.350905338700,0.52,OCBA-SPBZ-STHS-San_Pedro_Basin_fault_south-CFM5,"Full reported range takes into account feature and dating uncertainties, as well as the uncertainty there may be addition secondary strands that carry some of the total rate.",1.5,1.2,1.8,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),submarine channel wall,"C14, sed rate",unlisted,1-11,1,5,yes,Ryan et al. (2012),https://doi.org/10.1785/0120110317,"Ryan, H.F., Conrad, J.E., Paull, C.K., and McGann, M., 2012, Slip rate on the San Diego Trough fault zone, Inner California Borderland, and the 1986 Oceanside earthquake swarm revisited: Bulletin of the Seismological Society of America, v. 102, p. 2300-2312, https://doi.org/10.1785/0120110317 "
Sand Springs Range,1101,NV,approx GZ canyon site,S-0248,SR-0540,-118.334932461000,39.330124223900,125.6,N/A,vertical separation of 6m in Qfm deposits dated at 13.3 ka,0.45,0.45,0.82,unknown,unprojected (vertical),reported pref (low = 6m/7.3 ka; high = 6m/13.3 ka),colluvial wedge thickness/trench strata vertical displacement,radiocarbon,3,7.3-13.3,0.2,1,no,"Bell et al., (2004)",https://doi.org/10.1785/012003226,"Bell, J. W., Caskey, S. J., Ramelli, A. R., & Guerrieri, L. (2004). Pattern and rates of faulting in the central Nevada seismic belt, and paleoseismic evidence for prior beltlike behavior. Bulletin of the Seismological Society of America, 94(4), 1229-1254. https://doi.org/10.1785/012003226"
San Gabriel,242,CA,n/a,S-0282,SR-0112,-118.582887538000,34.456862210400,0.59,WTRA-SGFZ-PLMS-Northern_San_Gabriel_fault-CFM4,"Description of clast assemblage of Saugus Formation in the Santa Clarita area possibly offset 500 m (Weber, 1982). Offset also noted in Yeats and others (1994). Age constraints of Saugus Formation from Levi and Yeats (2003). UCERF3 recalculated rate is 0.2 - 1 mm/yr, essentially the same as the USGS rate category.",1,0.2,1,unknown,horizontal,reported (only preferred value listed in Appendix B no uncertainty included),Clast assemblage,unlisted,unlisted,130-750,0.2,1,yes,Weber (1982); Yeats et al. (1994); Levi and Yeats (2003),https://ngmdb.usgs.gov/Prodesc/proddesc_70932.htm; https://doi.org/10.1306/A25FE42D-171B-11D7-8645000102C1865D; N/A,"Weber, F.H., Jr., 1982, Geology and Geomorphology along the San Gabriel fault zone, Los Angeles and Ventura Counties, California: California Division of Mines and Geology Open-File Report 82-2, 159 p. https://ngmdb.usgs.gov/Prodesc/proddesc_70932.htm; Robert S. Yeats, Gary J. Huftile, Leonard T. Stitt, (1994). Late Cenozoic Tectonics of the East Ventura Basin, Transverse Ranges, California. AAPG Bulletin, 78 (7): 1040-1074. https://doi.org/10.1306/A25FE42D-171B-11D7-8645000102C1865D; N/A"
San Gregorio (north),245,CA,Ano Nuevo,S-0284,SR-0267,-122.293977860000,37.128589017200,0.11,SFBY-SGFZ-SNGR-San_Gregorio-CFM7,"Large feature uncertainties due to issues with correlation with piercing lines (Bryant and Cluett, 1999).",N/A,3,9,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),marine terraces,unlisted,unlisted,11-130,5,35,yes,Weber and Nolan (1995),N/A,"Weber, G.E., and Nolan, J.M., 1995, Determination of late Pleistocene-Holocene slip rates along the San Gregorio fault zone, San Mateo County, California: U.S. Geological Survey Open-File Report 95-210, p. 805-807."
San Gregorio (north),245,CA,Seal Cove,S-0283,SR-0266,-122.512843103000,37.520478387300,0.05,SFBY-SGFZ-SNGR-San_Gregorio-CFM7,Minimum rate due to other offshore strands which are not accounted for. Simpson and others (1997) infer the total slip rate is at least 6 mm/yr (reported here as a minimum value).,4.5,3.5,35,unknown,horizontal,"reported (rate reported as a minimum range, so smaller of those values = LowRate and large = PrefRate)",paleochannel,"paleontology on shells, correlation",unlisted,11-130,5,35,yes,Simpson et al. (1997),https://doi.org/10.1785/BSSA0870051158,"Simpson, G.D., Thompson, S.C., Noller, J.S., Lettis, W.R., and Williams, C., 1997, The northern San Gregorio fault zone-Evidence for the timing of late Holocene earthquakes near Seal Cove, California: Bulletin Seismological Society of America, v. 87, no. 5, p. 1158-1170. https://doi.org/10.1785/BSSA0870051158"
San Jacinto (Anza),804,CA,Anza,S-0289,SR-0389,-116.670781473000,33.587760903700,0.22,PNRA-SJFZ-ANZA-Clark_fault_north-CFM4,"Rate reported by Blisniuk and others. (in prep), site coordinates approximate, but appears to be near the same area as the rate reported by Rockwell and others (1990).",14,11.3,18.2,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,cosmo,unlisted,11-130,5,35,yes,Rockwell et al. (1990),N/A,"Rockwell, T.K., Klinger, R., and Goodmacher, J., 1990, Determination of slip rates and dating of earthquakes for the San Jacinto and Elsinore fault zones, in Kooser, M.A., and Reynolds, R.E., eds., Geology around the Margins of the eastern San Bernardino Mountains, v. 1: Redlands, Calif., Inland Geological Society, p. 51-56."
San Jacinto (Anza),804,CA,Anza,S-0290,SR-0390,-116.670781473000,33.587760903700,0.22,PNRA-SJFZ-ANZA-Clark_fault_north-CFM4,"Other preferred time interval rates at Anza reported by Rockwell and others (1990) are >9 mm/yr (9.5 ka), 11 mm/yr (~14 ka) and 12 mm/yr (~17 ka). This rate reported in this compilation in order to compare with new rates reported by Blisniuk and others (2010) that are approximately in the same time span.",N/A,9,23,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),unlisted,"Soil correlation, C14",unlisted,11-130,5,35,yes,Rockwell et al. (1990),N/A,"Rockwell, T.K., Klinger, R., and Goodmacher, J., 1990, Determination of slip rates and dating of earthquakes for the San Jacinto and Elsinore fault zones, in Kooser, M.A., and Reynolds, R.E., eds., Geology around the Margins of the eastern San Bernardino Mountains, v. 1: Redlands, Calif., Inland Geological Society, p. 51-56."
San Jacinto (Anza),804,CA,Hog Lake,S-0288,SR-0388,-116.710967138000,33.612968694100,0.21,PNRA-SJFZ-ANZA-Clark_fault_north-CFM4,Offset of distinctive gravelly sand dated to after AD 300.,16,5,35,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included; reported rate is a minimum),deposit,C14,unlisted,1-11,5,35,yes,"Blisniuk and Rockwell (written communication to UCERF3, 2012)",N/A,N/A
San Jacinto (Borrego),801,CA,Carrizo Wash,S-0291,SR-0378,-115.952834315000,33.005154095900,0.3,PNRA-SJFZ-SSMT-Superstition_Mountain_fault-CFM4,"Unpublished slip rate. 7m offset in 4 events in past 1200 yrs. This rate is similar to Gurrola and Rockwell (1996), although this may be more robust because the G&R rate is a one interval rate.",N/A,5,9,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),channel,unlisted,4,<1,5,35,yes,Verdugo et al. (2006),N/A,"Verdugo, D., Ragona, D., and Rockwell, T., 2006, New Paleoseismic Results from the southern San Jacinto fault zone [abs.]: Southern California Earthquake Center 2006 Annual Meeting, p. 175."
San Jacinto (Borrego),801,CA,per Pollard and Rockwell (1995),S-0292,SR-0379,-116.075113830000,33.108647678400,0.6,PNRA-SJFZ-BRMT-Coyote_Creek_fault-CFM4,"~300 year rate, unknown number of events. Rate is similar to the rate reported by Sharp (1981) and Clark and others (1972), however, these other rates rely on assumptions about characteristic slip to derive slip rates. This may be a minimum, Rockwell (pc) reports the 1968 strand may not be the principal fault in this area.",4.5,1,5,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),edge of deposit,C14,unlisted,<1,1,5,yes,Pollard and Rockwell (1995),N/A,"Pollard, W.J., and Rockwell, T.K., 1995, Late Holocene slip rate for the Coyote Creek fault, Imperial County, California: Geological Society of America Abstracts with Programs, v. 27, no. 5, p. 72."
San Jacinto (Clark),803,CA,per Blisniuk and others,S-0295,SR-0385,-116.437306226000,33.443495118200,0.06,PNRA-SJFZ-ANZA-Clark_fault_south_main-CFM4,Blisniuk and others. (in prep) Holocene rate.,7.5,5.6,9.5,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,1-11,5,35,yes,"Blisniuk et al. (in prep); Blisniuk et al. (written communication to UCERF3, 2012)",N/A; N/A,N/A; N/A
San Jacinto (Clark),803,CA,Rockhouse Canyon,S-0296,SR-0386,-116.367233777000,33.406774799600,0.08,PNRA-SJFZ-ANZA-Clark_fault_south_main-CFM4,Blisniuk and others. (in prep) Holocene rate.,8.2,5.7,10.3,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,10Be,unlisted,1-11,5,35,yes,"Blisniuk et al. (in prep); Blisniuk et al. (written communication to UCERF3, 2012)",N/A; N/A,N/A; N/A
San Jacinto (Clark),803,CA,Rockhouse Canyon,S-0297,SR-0387,-116.367233777000,33.406774799600,0.08,PNRA-SJFZ-ANZA-Clark_fault_south_main-CFM4,Reported slip rate considers slip rates from two offsets. 500 +/- 70 m offset in 47 +/- 8 ka and 220 +/- 70 m offset in 28 +/- 9 ka. Minimum rate for the zone.,8.9,6.9,10.9,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,10Be,unlisted,11-130,5,35,yes,"Blisniuk et al. (2010); Blisniuk and Rockwell (written communication to UCERF3, 2012)",N/A; N/A,N/A; N/A
San Jacinto (Clark),803,CA,Santa Rosa Mountains,S-0293,SR-0383,-116.170498521000,33.296446641500,0.12,PNRA-SJFZ-ANZA-Clark_fault_south_west_link-CFM4,Slip assumed to be distributed off of main Clark fault and partitioned to Coyote Creek fault and/or distributed deformation. Minimum rate for the zone.,1.3,0.9,1.7,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,10Be,unlisted,11-130,5,35,yes,"Blisniuk et al. (2010); Blisniuk and Rockwell (written communication to UCERF3, 2012)",https://doi.org/10.1029/2009JB006346; N/A,"Blisniuk, K., Rockwell, T., Owen, L.A., Oskin, M., Lippincott, C., Caffee, M.W., and Dortch, J., 2010, Late Quaternary slip rate gradient defined using high-resolution topography and 10Be dating of offset landforms on the southern San Jacinto Fault zone, California: Journal of Geophysical Research, v. 115, no. B8, B08401, https://doi.org/10.1029/2009JB006346; N/A"
San Jacinto (Clark),803,CA,Santa Rosa Mountains,S-0294,SR-0384,-116.170498521000,33.296446641500,0.12,PNRA-SJFZ-ANZA-Clark_fault_south_west_link-CFM4,Holocene slip rate reported by Blisniuk and others. (in prep),3.7,2.7,4.8,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,10Be,unlisted,1-11,5,35,yes,Blisniuk et al. (in prep),N/A,N/A
San Jacinto (Coyote Creek),802,CA,per Blisniuk and others,S-0298,SR-0380,-116.477682175000,33.425497944600,0.03,PNRA-SJFZ-CYTC-Coyote_Creek_fault-CFM4,Blisniuk and others. (in prep) Holocene rate.,7.1,5.7,8.9,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,1-11,1,5,yes,"Blisniuk et al. (in prep); Blisniuk et al. (written communication to UCERF3, 2012)",N/A; N/A,N/A; N/A
San Jacinto (Coyote Creek),802,CA,per Blisniuk and others,S-0299,SR-0381,-116.401492201000,33.363054082000,0.33,PNRA-SJFZ-CYTC-Coyote_Creek_fault-CFM4,Blisniuk and others. (in prep) L. Pleistocene rate.,4.7,2.5,7.2,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,11-130,5,35,yes,"Blisniuk et al. (in prep); Blisniuk et al. (written communication to UCERF3, 2012)",N/A; N/A,N/A; N/A
San Jacinto (Coyote Creek),802,CA,per Blisniuk and others,S-0300,SR-0382,-116.401492201000,33.363054082000,0.33,PNRA-SJFZ-CYTC-Coyote_Creek_fault-CFM4,Blisniuk and others. (in prep) Holocene rate.,6.9,5.9,8.9,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,1-11,5,35,yes,"Blisniuk et al. (in prep); Blisniuk et al. (written communication to UCERF3, 2012)",N/A; N/A,N/A; N/A
San Jacinto (San Bernardino),807,CA,Commercial Road,S-0301,SR-0393,-117.281839301000,34.059982801800,0.59,PNRA-SJFZ-SBRN-San_Jacinto_Claremont_fault-CFM4,Minimum rate due to other strands of the fault on which slip was not resolved.,3.3,1.7,35,unknown,horizontal,"reported (rate reported as a minimum range, so smaller of those values = LowRate and large = PrefRate)",unlisted,unlisted,unlisted,1-11,5,35,yes,Wesnousky et al. (1991),https://doi.org/10.1130/0016-7606(1991)103%3C0700:AOHSCA%3E2.3.CO;2 ,"Wesnousky, S.G., Prentice, C.S., and Sieh, K.E., 1991, An offset Holocene stream channel and the rate of slip along the northern reach of the San Jacinto fault zone, San Bernardino Valley, California: Geological Society of America Bulletin, v. 103, p. 700-709. https://doi.org/10.1130/0016-7606(1991)103%3C0700:AOHSCA%3E2.3.CO;2"
San Jacinto (San Jacinto Valley),806,CA,Quincy (placed onto hazard trace; site is actually to the east),S-0302,SR-0392,-117.172508087000,33.968559315700,0.4,PNRA-SJFZ-SJCV-Claremont_fault-CFM4,trenching across/measurement of multiple offset channels (average slip per event = 2.5m) in 9-11 EQs over past 1.5-2 ka (radiocarbon); age of EQs comes from Mystic Lake site; pref disp = 25-30m calculted between event ages 12 and 1 from Mystic Lake,13.4,12.8,18.3,unknown,projected (strike-slip),reported,paleochannel offsets,radiocarbon,12 (rate calculated between events 12 and 1 from Mystic Lake),from 0.2 to 2.05+/- 0.12,5,35,no,Onderdonk et al. (2015),https://doi.org/10.1130/L393.1 ,"Onderdonk, N. W., McGill, S. F., & Rockwell, T. K. (2015). Short-term variations in slip rate and size of prehistoric earthquakes during the past 2000 years on the northern San Jacinto fault zone, a major plate-boundary structure in southern California. Lithosphere, 7(3), 211-234. https://doi.org/10.1130/L393.1"
San Joaquin Hills,247,CA,per Grant and others (1999),S-0303,SR-0269,-117.776133334000,33.665925840100,3.13,PNRA-CSTF-SJQH-San_Joaquin_Hills_fault-CFM3,"Grant and others (1999) report are slip rate of 0.42 - 0.79 mm/yr, based on a model that uses a 20 - 30 degree dipping fault.",N/A,0.42,0.79,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine terrace,230Th,unlisted,11-130,0.2,1,yes,Grant et al. (1999),https://doi.org/10.1130/0091-7613(1999)027%3C1031:LQUAEP%3E2.3.CO;2,"Grant, L.B., Mueller, K.J., Gath,E.M., Cheng, H.R., Edwards, L., Munro, R., and Kennedy, G.L., 1999, Late Quaternary uplift and earthquake potential of the San Joaquin Hills, southern Los Angeles Basin, California: Geology, v. 27, p. 1031-1034. https://doi.org/10.1130/0091-7613(1999)027%3C1031:LQUAEP%3E2.3.CO;2"
San Luis Bay,250,CA,Avila Beach,S-0304,SR-0271,-120.755899270858,35.172952203634,0.71,CRFA-SLRS-SLBS-San_Luis_Bay_fault-CFM4,Lettis and others (1994) report a net slip rate of 0.04 - 0.11 mm/yr based on a fault dip of 40 - 70 degrees.,N/A,0.04,0.11,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine terrace,correlation,unlisted,11-130,0,0.2,yes,Lettis et al. (1994),https://doi.org/10.1130/SPE292-p111,"Lettis, W.R., Kelson, K.I., Wesling, J.R., Angell, M., Hanson, K.L., and Hall, N.T., 1994, Quaternary deformation of the San Luis Range, San Luis Obispo County, California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 111-132. https://doi.org/10.1130/SPE292-p111"
San Luis Range (Oceano),251,CA,Nipomo Mesa,S-0305,SR-0272,-120.588470985000,35.071805312300,0.19,CRFA-SLRS-MULT-San_Luis_Range_fault_system-CFM4,Reported net slip rate assumes 10 - 65 degree dip.,N/A,0.05,0.18,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine deposits,geologic,unlisted,750-2600,0,0.2,yes,Lettis et al. (1994),https://doi.org/10.1130/SPE292-p111,"Lettis, W.R., Kelson, K.I., Wesling, J.R., Angell, M., Hanson, K.L., and Hall, N.T., 1994, Quaternary deformation of the San Luis Range, San Luis Obispo County, California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 111-132. https://doi.org/10.1130/SPE292-p111"
Santa Cruz Island,260,CA,Christi Beach,S-0306,SR-0276,-119.869456772000,34.030649343600,0.06,WTRA-SFFS-SNCZ-Santa_Cruz_Island_fault-CFM5,"Christi Beach, see other entry for horizontal component.",N/A,0.1,0.2,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),marine terrace,correlation,unlisted,11-130,0.2,1,yes,Pinter et al. (1991),https://doi.org/10.1130/0091-7613(1991)019%3C0909:EFLPTH%3E2.3.CO;2,"Pinter, N., and Sorlien, C., 1991,Evidence for latest Pleistocene to Holocene movement on the Santa Cruz Island Fault, California: Geology, v. 19, no. 9, p. 909-912. https://doi.org/10.1130/0091-7613(1991)019%3C0909:EFLPTH%3E2.3.CO;2"
Santa Cruz Island,260,CA,Christi Beach,S-0307,SR-0277,-119.869456772000,34.030649343600,0.06,WTRA-SFFS-SNCZ-Santa_Cruz_Island_fault-CFM5,"Christi Beach, well-constrained long term geologic rate see other entry for vertical component.",N/A,0.7,1.1,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),marine terrace,correlation,unlisted,130-750,0.2,1,yes,Pinter et al. (1991),https://doi.org/10.1130/0091-7613(1991)019%3C0909:EFLPTH%3E2.3.CO;2,"Pinter, N., and Sorlien, C., 1991,Evidence for latest Pleistocene to Holocene movement on the Santa Cruz Island Fault, California: Geology, v. 19, no. 9, p. 909-912. https://doi.org/10.1130/0091-7613(1991)019%3C0909:EFLPTH%3E2.3.CO;2"
Santa Monica,262,CA,Potrero Canyon,S-0308,SR-0158,-118.526214832000,34.030530194100,0.05,WTRA-SFFS-SMMT-Malibu_Coast_fault_east-CFM6,"Minimum rate, only across one strand of the Santa Monica fault. Low overall rating assigned because lateral component not accounted for. Dip slip reported is 0.6 mm/yr, assuming a 45 - 55 dip.",0.5,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B; no uncertainty included),marine terrace,correlation,unlisted,11-130,0.2,1,yes,Dolan et al. (2000),https://doi.org/10.1130/0016-7606(2000)112%3C1559:LQAASP%3E2.0.CO;2,"Dolan, J.F., Sieh, K., and Rockwell, T. K., 2000, Late Quaternary activity and seismic potential of the Santa Monica fault system, Los Angeles, California: Geological Society of America Bulletin, v. 112, p. 1559-1581. https://doi.org/10.1130/0016-7606(2000)112%3C1559:LQAASP%3E2.0.CO;2"
Santa Rosa Range (south),2573,NV,Orovado,S-0260,SR-0685,-117.735205801000,41.537812630200,197.05,N/A,"4 events observed with MRE, PE and APE have age constraint at: 11+16 ka, 90-108 ka and 125-155 ka; numerous different slip rates calculated- prefer first listed slip rate b/c vertical is totaled across fault zone 14.6 +/- 3 m displacement in past ~403 ka",0.036,0.027,0.047,unknown,unprojected (vertical),reinterpreted (low = 11.6 m/433 ka; high = 17.6 m/433 ka; pref = 14.6 m/403 ka),scarp profiles,luminescence,4,403 +/- 30,0,0.2,no,Personius and Mahan (2005),https://doi.org/10.1785/0120040001,"Personius, S. F., & Mahan, S. A. (2005). Unusually low rates of slip on the Santa Rosa Range fault zone, northern Nevada. Bulletin of the Seismological Society of America, 95(1), 319-333. https://doi.org/10.1785/0120040001"
Santa Susana,266,CA,per Huftile and Yeats (1996),S-0309,SR-0279,-118.572997272000,34.305460483800,0.05,WTRA-SSFZ-MULT-Santa_Susana_fault-CFM5,"Huftile and Yeats (1996) use a cross section to estimate total dip slip displacement along the fault. They give two alternatives for the total displacement, which is very dependant on projections into space of hanging wall deformation.",N/A,2.1,9.8,unknown,projected (dip-slip),reported (only range listed in Appendix B no preferred rate included),stratigraphic,correlation,unlisted,750-2600,0.2,1,yes,Huftile and Yeats (1996),https://doi.org/10.1785/BSSA08601B00S3,"Huftile, G. J., and Yeats, R.S., 1996, Deformation rates across the Placerita (Northridge Mw=6.7 aftershock zone) and Hopper Canyon segments of the western Transverse Ranges deformation belt: Bulletin of the Seismological Society of America, v. 86, p. S3-S18. https://doi.org/10.1785/BSSA08601B00S3"
Santa Ynez (east),268,CA,Blue Canyon,S-0310,SR-0280,-119.595351489000,34.493722287600,0.1,WTRA-SYFZ-MULT-Santa_Ynez_fault-CFM5,"Combined slip rate across two strands reported by Keaton (1979), summed net slip, with preferred age of 100 ka (no reason given) rate as reported by Clark and others (1984). Poorly-constrained.",N/A,0.15,10.1,unknown,net,reported (only range listed in Appendix B no preferred rate included),channels and terrace,inferred,unlisted,11-750,0.2,1,yes,Keaton (1979),N/A,"Keaton, J.R., 1979, Geomorphic evidence for late Quaternary displacement along the Santa Ynez fault zone, Blue Canyon, eastern Santa Barbara County, California: Geological Society of America Abstracts With Programs, v. 10, no. 3, p. 111."
Santa Ynez (west),269,CA,per Darrow and Sylvester,S-0311,SR-0146,-119.862365907000,34.552928838100,0.49,WTRA-SYFZ-MULT-Santa_Ynez_fault-CFM5,"Small offset and short time interval suggests only one or two events, slip rate may not be representative of long term average.",N/A,1.7,3.3,unknown,horizontal,reported (only range listed in Appendix B no preferred rate included),terrace deposits,inferred,<2 ?,1-11,1,5,yes,Darrow and Sylvester (1984),N/A,"Darrow, A.C., and Sylvester, A.G., 1984, Activity of the central reach of the Santa Ynez Fault- continuation of investigations: Final technical report sponsored by the U.S. Geological Survey, contract no. 14-08-0001-21367, 17p."
Sargent,271,CA,per Nolan and others (1995),S-0312,SR-0281,-121.535809461000,36.922771936100,0.1,SFBY-SAFZ-MULT-Sargent-CFM7,"Poorly-constrained rate based on vertical offset of deposits, and assumptions of Hz:V. Considered by authors as a minimum rate.",N/A,1,5,unknown,unknown,reported (only preferred value listed in Appendix B; no uncertainty included; rate reported as a minimum),offset alluvium,unlisted,unlisted,unlisted,1,5,yes,Nolan et al. (1995); Frankel et al. (1996),N/A; https://pubs.usgs.gov/of/1996/532/,"Nolan, J.M., Zinn,E.N., and Weber, G.E., 1995, Paleoseismic study of the southern Sargent fault, Santa Clara and San Benito Counties California: U.S. Geological Survey NEHRP Final Technical Report 1434-94-G-2466, 23 p.; Frankel, A., Mueller, C., Barnhard, T., Perkins, D., Leyendecker, E., Dickman, N., Hanson, S., and Hopper, M., 1996, National Seismic Hazard Maps-Documentation June 1996: U.S. Geological Survey Open-File Report 96-532, 110 p. https://pubs.usgs.gov/of/1996/532/"
Schell Creek Range,1103,NV,"Profile 5,6,7",S-0249,SR-0542,-114.545298116000,39.489968291300,364.62,N/A,scarp heights ranging from 3.6-3.85 m tall estimated to be 30-35 ka,0.11,0.1,0.13,unknown,unprojected (vertical),reinterpreted (low = 3.6m/35 ka; high = 3.85 m/30 ka; pref (averages) = 3.7 m/32.3 ka),scarp heights,scarp morphology/diffusion estimates,2?,30-35,0,0.2,no,Koehler and Wesnousky (2011),https://doi.org/10.1130/B30111.1,"Koehler, R. D., & Wesnousky, S. G. (2011). Late Pleistocene regional extension rate derived from earthquake geology of late Quaternary faults across the Great Basin, Nevada, between 38.5 N and 40 N latitude. GSA Bulletin, 123(3-4), 631-650. https://doi.org/10.1130/B30111.1"
Sierra Madre,275,CA,Arroyo Seco,S-0314,SR-0284,-118.165533899000,34.206082095700,0.28,WTRA-SMFZ-MULT-Sierra_Madre_fault_west-CFM4,offset terrace vertical separation measurement of Q3.3 = 27.9 +2.5/-2.1 along profile C-C' with terrace abandonment dated at 53.4 +14.5/-21.3 ka,0.52,0.28,0.77,unknown for recalculted rates,unprojected (vertical),authors report prrojected vertical rates with intensive uncertainty treatment; reinterpreted rates = unrpojected (min = 25.4 m/92.3 ka; max = 30m/38.9 ka; pref = 27.9/53.4),terrace vertical separation,10Be and luminescence,unknown,53.4 +21.3/-14.5,1,5,no,"Burgette et al., (2020)",https://doi.org/10.1016/j.epsl.2019.115907,"Burgette, R. J., Hanson, A. M., Scharer, K. M., Rittenour, T. M., & McPhillips, D. (2020). Late Quaternary slip rate of the Central Sierra Madre fault, southern California: Implications for slip partitioning and earthquake hazard. Earth and Planetary Science Letters, 530, 115907. https://doi.org/10.1016/j.epsl.2019.115907"
