Fault Name,NSHM23 Fault ID,State,Site Name,CPD ID,NSHM23 Slip Rate ID,Longitude,Latitude,Distance To Nearest CFM Fault (km),CFM6.0 Object Name,Data Type,Observation,Preferred Rate,Low Rate,High Rate,Rate Uncertainty,Rate Type,ReptReint,Offset Type,Age Type,Num Events,Rate Age,Qbin Min,Qbin Max,References,UCERF3 AppB
Red Mountain,225,CA,North and South of Clark and others (1984),S-0173,SR-0233,-119.445483075000,34.356609276800,0.89,WTRA-NCVS-RDMT-Red_Mountain_fault_S_strand-CFM5,slip rate study,"Summed rate across north and south strands reported by Clark and others (1984).  Reported dip slip rate assumes 60 - 90 dip. Probably a minimum rate due to footwall uplift that may be related to the Red Mountain fault (see Huftile and others, 1997).",N/A,1.6,2.3,unknown,projected (dip-slip),reported (only range listed in Appendix B; no preferred value included),marine terrace,"amino acids, U-series",unlisted,11-130,1,5,Clark and others (1984),yes
Red Mountain,225,CA,Main Strand of Clark and others (1984),S-0174,SR-0234,-119.396640378000,34.344188481200,0.25,WTRA-NCVS-RDMT-Red_Mountain_fault_S_strand-CFM5,slip rate study,"Probably a minimum rate for multiple reasons.  Rate is on only one of three strands.  Also, uplift of the footwall block may be related to movement on the Red Mountain fault at depth (see Huftile and others, 1997).",0.6,0.5,0.7,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),marine terrace,"amino acids, U-series",unlisted,11-130,1,5,Clark and others (1984),yes
Robinson Creek,232,CA,Buckeye Creek,S-0175,SR-0241,-119.306191534000,38.231095555100,140.04,N/A,slip rate study,"Bryant (1989) notes the slip rate based on the height of a Tahoe age glacial deposit.  He also notes this is consistent with the 0.2 - 0.7 mm/yr rate reported by Clark and others (1984), based on a 4-m high scarp on Tioga deposits.  The rate of Bryant is",N/A,0.3,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),offset glacial deposit,correlation,unlisted,11-130,0.2,1,Bryant (1984),yes
Rocky Ledge,233,CA,per PG&E,S-0176,SR-0242,-121.619247578000,40.921008200700,498.55,N/A,slip rate study,Site location is approximate.,0.1,0,0.2,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B; no uncertainty included),basalt flow,Ar-Ar,unlisted,130-750,0,0.2,"(Ray Weldon, written communication, 2011)",yes
Rodgers Creek - Healdsburg,903,CA,Beebe Ranch,S-0177,SR-0008,-122.541903960000,38.269028504200,246.25,N/A,slip rate study,"2 - 3 interval short term (~900 yr) rate.  Schwartz and others (1992) revised the rate of Budding and others (1991) based on newer radiocarbon dates, and report 775 yrs as the amount of time this offset accumulated over.  Because the age date is not repo",N/A,6.4,10.4,unknown,horizontal,reported (only range listed in Appendix B; range of preferred values included),buried debris flow,C14,unlisted,<1,5,35,Schwartz and others (1992); Budding and others (1991),yes
Rose Canyon,234,CA,per Lindvall and Rockwell  (1995),S-0178,SR-0243,-117.218129455000,32.810053292700,0.21,OCBA-NIRC-RSCN-Rose_Canyon_fault-CFM5,slip rate study,Minimum rate due to unresolved slip on other strands.,N/A,1.07,2,unknown,horizontal,reported (only range listed in Appendix B; no preferred value included),buried channel,C14,unlisted,1-11,1,5,Lindvall and Rockwell (1996),yes
Round Valley,235,CA,Basin Mountain,S-0179,SR-0244,-118.637643450000,37.304130364300,28.36,N/A,slip rate study,"Short time interval may make this less reliable if this a limited number of events, given the relatively small total displacement.  However, rate is not unreasonable compared to long term rate.",N/A,0.4,0.5,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,McGee Creek South (MS-1C),S-0180,SR-0245,-118.640661517000,37.283076423600,28.09,N/A,slip rate study,Berry (1997) notes consistency of rates over different time intervals.,N/A,0.4,0.5,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,unlisted,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,McGee Creek South (MS-1B),S-0181,SR-0246,-118.640661517000,37.283076423600,28.09,N/A,slip rate study,Berry (1997) notes consistency of rates over different time intervals.,N/A,0.4,0.8,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,unlisted,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,"McGee Creek South ""Tahoe""",S-0182,SR-0247,-118.640661517000,37.283076423600,28.09,N/A,slip rate study,Berry (1997) notes consistency of rates over different time intervals.,N/A,0.5,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,unlisted,unlisted,130-750,0.2,1,Berry (1997),yes
Round Valley,235,CA,McGee Creek South (MS-2),S-0183,SR-0248,-118.640661517000,37.283076423600,28.09,N/A,slip rate study,"Rate is consistent with longer term (Tahoe age) rate of 0.5 - 0.6 mm/yr, based on a 75 - 90 meter displacement of 140 ka old deposit.  Shorter term rate is reported here as the range.  *Longer term rate is assigned as the preferred.  Berry (1997) notes c",N/A,0.5,0.9,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,Mt. Tom (MT-C),S-0184,SR-0249,-118.615027603000,37.354102079400,28.51,N/A,slip rate study,,N/A,0.5,1,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),fan surface,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,Pine Creek PC-1A,S-0185,SR-0250,-118.648712687000,37.403066647000,33.83,N/A,slip rate study,Presented by Berry (1997) as alternative rate to PC-1B.,N/A,0.4,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,"Pine Creek ""pre Tahoe""",S-0186,SR-0251,-118.648712687000,37.403066647000,33.83,N/A,slip rate study,Reported long term rate (Tahoe-age) is in agreement with shorter term rates of 0.4 - 1.0 mm/yr (since 15 - 20 ka) and 0.5 - 0.8 mm/yr (since 20 - 25 ka) reported by Berry (1997).,N/A,0.4,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,130-750,0.2,1,Berry (1997),yes
Round Valley,235,CA,"Pine Creek ""Tahoe""",S-0187,SR-0252,-118.648712687000,37.403066647000,33.83,N/A,slip rate study,Reported long term rate (Tahoe-age) is in agreement with shorter term rates of 0.4 - 1.0 mm/yr (since 15 - 20 ka) and 0.5 - 0.8 mm/yr (since 20 - 25 ka) reported by Berry (1997).,N/A,0.4,0.8,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,Pine Creek PC-2A,S-0188,SR-0253,-118.648712687000,37.403066647000,33.83,N/A,slip rate study,Presented by Berry (1997) as alternative rate to PC-2B.,N/A,0.5,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,Pine Creek PC-2B,S-0189,SR-0254,-118.648712687000,37.403066647000,33.83,N/A,slip rate study,Presented by Berry (1997) as alternative rate to PC-2A.,N/A,0.5,0.8,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Round Valley,235,CA,Pine Creek PC-1B,S-0190,SR-0255,-118.648712687000,37.403066647000,33.83,N/A,slip rate study,Presented by Berry (1997) as alternative rate to PC-1A.,N/A,0.6,1,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),moraine,correlation,unlisted,11-130,0.2,1,Berry (1997),yes
Russ,236,CA,n/a,S-0191,SR-0256,-124.375792801000,40.527080897900,539.65,N/A,slip rate study,Based on offset marine terrace.,0.2,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B; no uncertainty included),unlisted,marine terrace correlation,unlisted,11-130,0.2,1,McCrory (1996; 2000),yes
San Andreas (Banning),715,CA,Painted Springs,S-0192,SR-0321,-116.620689016000,33.942420197700,0.27,SAFS-SAFZ-MULT-Banning_fault-CFM6,slip rate study,offset alluvial fan Qfr 22-28 m preferred (total range = 20-30 m) of fan dated with 10Be and U-series with combined age of 6.4 +3.7/-2.1 ka,3.9,2.3,6.2,unknown,lateral,reported,alluvial fan,10Be + Useries,unknown,6.4 +3.7/2.1,5,35,"Gold et al., (2015) JSG",no
San Andreas (Carrizo),707,CA,Van Matre Ranch,S-0193,SR-0333,-119.697284625000,35.153461381600,0.38,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,~12 m offset of offset channel fill exposed in trenches dated at 0.38 +/- 0.06 ka with IRSL,31.6,25,40.6,unknown,horiztonal,reported,burried channels,luminescence,at least 2,0.38,5,35,"Salisbury et al., (2018) BSSA",no
San Andreas (Carrizo),707,CA,Van Matre Ranch,S-0194,SR-0334,-119.698064877000,35.154055017800,0.38,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,"Minimum slip rate reported by Noriega and others (2006) includes the open interval after 1857 (AD 1857 - 2005).  Their reported maximum slip rate uses the closed interval (AD 1160 - AD 1857), which is our preferred way to calculate slip rate if a closed",N/A,29.3,35.6,unknown,horizontal,reported (only rane value listed in Appendix B; no preferred value included),buried thalweg,C14,unlisted,<1,5,35,Noriega and others (2006),yes
San Andreas (Carrizo),707,CA,Phelan Creek,S-0195,SR-0335,-119.811220712000,35.261534305900,0.08,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,Very close to the Wallace Creek site.,34,5,35,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),abandoned channel,C14?,unlisted,1-11,5,35,Sims (1992),yes
San Andreas (Carrizo),707,CA,per Liu-Zeng and others (2006),S-0196,SR-0336,-119.819869161000,35.269870472000,0.11,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,Liu-Zeng and others (2006) originally calculated their slip rate using their offsets and then using the event ages at the Bidart site as age control.  This is somewhat indirect and the correlation of events between the sites may be uncertain.  Assuming t,34,5,35,unknown,horizontal,"reported (prefered value looks ok but unclear about the listed min and max values in Appendix B, not included here because these values appear too large/spurious)",buried channel,C14,4,<1,5,35,Liu-Zeng and others (2006); Akciz and others (2010),yes
San Andreas (Carrizo),707,CA,Wallace Creek,S-0197,SR-0337,-119.823631867000,35.273496584300,0.12,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,"Late Holocene rate reported by Sieh and Jahns (1984).  Rate is consistent with the longer term rate of 35.8 +5.4, -4.1, based on a ~13,250 yr BP fan offset about 475 m.  Rate is consistent with a  ~34 mm/yr rate over the past ~7000 yrs at nearby Phelan C",33.9,31,36.8,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),abandoned channel,C14,unlisted,1-11,5,35,Sieh and Jahns (1984),yes
San Andreas (Carrizo),707,CA,Wallace Creek,S-0198,SR-0338,-119.824345386000,35.274184152100,0.12,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,re-evaluation of ages from Sieh and Jahns 1984 using 128 +/- 1 m offset,36,35,37,unknown,projected (right-lateral),reported,channel offset,radiocarbon,unknown,3.5,5,35,"Grant Ludwig et al., (2019) Earth and Space Science",no
San Andreas (Coachella),700,CA,Biskra Palms,S-0199,SR-0165,-116.237241241000,33.780790824200,0.11,SAFS-SAFZ-COAV-Mission_Creek_fault_strand-CFM4,slip rate study,"Behr and others (2010) report the most recent results for this site that is published by other investigators (Keller and others, 1982; van der Woerd and others, 2006).  This study expands the uncertainties not fully addressed in previous studies.",N/A,12,22,unknown,horizontal,reported (only rane value listed in Appendix B; preferred value listed as range),fan edge,10Be,unlisted,11-130,5,35,Behr and others (2010),yes
San Andreas (Coachella),700,CA,Indio,S-0200,SR-0320,-116.185460715000,33.738068808600,0.19,SAFS-SAFZ-COAV-Southern_San_Andreas_fault-CFM4,slip rate study,"Poorly documented, 3 interval, short term slip rate. Williams and Sieh (1990) also report a 34 mm/yr slip rate, based on 1.05 m of slip during the past 308 years, but this appears to be mostly a creep rate and probably shouldn't be used.",30,5,35,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),offset marker beds,C14,4,<1,5,35,Sieh (1986),yes
San Andreas (Creeping),710,CA,Melendy Ranch,S-0201,SR-0341,-121.176891852000,36.583460167400,42.07,N/A,slip rate study,Reported rate is close to measured creep rate.,22,18,22,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),terrace riser,C14,unlisted,< 1,5,35,Perkins and others (1989),yes
"San Andreas (Mojave, north)",705,CA,Oak Flat,S-0202,SR-0331,-118.602282938000,34.725582099100,0.12,SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,slip rate study,"Slip rate reported by Rust (2005) has several issues.  Unclear how it was calculated, but does not take into account the 1857 earthquake giving a closed interval, which give a significantly higher rate than reported if this is accounted for.  Rust (2005)",N/A,34,51,unknown,horizontal,reported (only rane value listed in Appendix B; no preferred value included; rate seems cautionary from notes),offset landslide,C14,unlisted,< 1,5,35,Rust (2005),yes
"San Andreas (Mojave, south)",704,CA,Littlerock,S-0203,SR-0328,-117.956974941000,34.487243591200,0.1,SAFS-SAFZ-MJVS-San_Andreas_fault-CFM6,slip rate study,"Latest interpretation by Weldon and others (2008) of the Littlerock site slip rate.  A shorter term (3 event) slip rate at the same site (Pruitt and others, 2009) is considered too poorly constrained to be useful (Scharer, written communication, 2012)",37,30,37,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),buried channel,C14,unlisted,1-11,5,35,Weldon and others (2008),yes
"San Andreas (Mojave, south)",704,CA,Pallet Creek,S-0204,SR-0329,-117.885189591000,34.457544193100,0.06,SAFS-SAFZ-MJVS-San_Andreas_fault-CFM6,slip rate study,"Salyards and others (1982) modeled offsets and warping for a slip rate of ~35 mm/yr based on a 3 event, closed interval rate.  Recent dating of the section by Scharer and others (2011), does not significantly change the slip rate reported by Salyards and",35.6,28.9,42.3,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset and warping of units,C14,3,<1,5,35,Salyards and others (1992); Scharer and others (2011),yes
"San Andreas (Mojave, south)",704,CA,Wrightwood,S-0205,SR-0330,-117.668888820000,34.367130274800,0.02,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,"Slip rate is somewhat model dependant, however broad range encompasses uncertainties.  Preferred value from Weldon and others (2004), who report ~46 m of offset during past 1323 yrs.",34.8,20,40,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B;pref value comes from Appendix B comment field),modeled slip,C14,14,1-11,5,35,Weldon and others (2004),yes
San Andreas (North Coast),713,CA,Scaramella Ranch,S-0206,SR-0344,-123.675611485000,38.982385929100,359.3,N/A,slip rate study,"Channel is highly oblique to the fault zone, leading Prentice (1989) to report this as a maximum rate.",25.5,23,28,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B;pref value reported as a maximum rate,channel,C14,unlisted,1-11,5,35,Prentice (1989),yes
San Andreas (North Coast),713,CA,Pt Arena terraces (120 ka terrace),S-0207,SR-0345,-123.680953258000,38.988793119600,360.15,N/A,slip rate study,"Maximum and minimum rates reported here are recalculated.  Reported rate is what Prentice and Kelson (2006) report for this site, which is composite of both the 80 ka and 120 ka rates. Site coordinates are the northwestern edge of the 120 ka terrace.",N/A,19,27,unknown,horizontal,reported (only rane value listed in Appendix B; preferred value listed as range),offset marine terraces,correlation?,unlisted,11-130,5,35,"Prentice (1989); Prentice and others (2000) (Summarized in Prentice and Kelson, 2006)",yes
San Andreas (North Coast),713,CA,Mill Gulch,S-0208,SR-0346,-123.219132607000,38.502056282600,293.24,N/A,slip rate study,Reported ages are from several different radiocarbon samples.  Slip rate may be a minimum if samples represent maximum limiting ages.,19,15,23,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B;pref value reported as a maximum rate,abandoned channel,C14,unlisted,1-11,5,35,"Prentice and others (2000, 2001)",yes
San Andreas (North Coast),713,CA,Vedanta,S-0209,SR-0347,-122.784429611000,38.033616385400,229.56,N/A,slip rate study,,24,22,26,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,1-11,5,35,Niemi and Hall (1992),yes
San Andreas (Parkfield),709,CA,Cholame Valley,S-0210,SR-0339,-120.304442272000,35.756218833900,0.24,SAFS-SAFZ-PARK-San_Andreas_fault-CFM4,slip rate study,Minimum due to other fault strands.  Values taken from USGS QFFD.,26.3,23,29.6,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; pref value reported as maximum in Appendix B),stratigraphic,C14,unlisted,1-11,5,35,Sims (1987),yes
San Andreas (Parkfield),709,CA,Miller's Field / SWFZ,S-0211,SR-0340,-120.441318034000,35.888006985300,0.96,SAFS-SAFZ-PARK-San_Andreas_fault-CFM4,slip rate study,"Reported slip rate is 2 sigma, from combining Gaussian slip pdf and boxcar age constraints.  Reported rate is a minimum for zone, and additional slip may be on the Southwest Boundary Zone, perhaps about 4 mm/yr.",24.8,18.2,37.2,reported 2sigma by authors/Appendix B,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,< 1,5,35,Toke and others (2011),yes
San Andreas (Peninsula),712,CA,Filoli,S-0212,SR-0180,-122.314503955000,37.472654276400,155.92,N/A,slip rate study,,17,13,21,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),buried channel,C14,unlisted,1-11,5,35,Hall and others (1999),yes
"San Andreas (San Bernardino, north)",703,CA,Pitman Canyon,S-0213,SR-0322,-117.424154148000,34.254510186600,0.2,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,"AAPG abstract, manuscript in review.  No reported offset value or uncertainties on timing.  10Be date.",N/A,13,28,unknown,horizontal,reported (only rane value listed in Appendix B; preferred value listed as range),landslide,10Be,unlisted,11-130,5,35,McGill and others (2010),yes
"San Andreas (San Bernardino, north)",703,CA,Cajon Pass,S-0214,SR-0323,-117.458538044000,34.274396627100,0.35,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,Weldon and Sieh (1985) Case 2 offset.,23,21,28,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,11-130,5,35,Weldon and Sieh (1985),yes
"San Andreas (San Bernardino, north)",703,CA,Cajon Pass,S-0215,SR-0324,-117.458538044000,34.274396627100,0.35,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,Weldon and Sieh (1985) Case 3 offset.,24,19,30,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),terrace riser,C14,unlisted,1-11,5,35,Weldon and Sieh (1985),yes
"San Andreas (San Bernardino, north)",703,CA,Cajon Pass,S-0216,SR-0325,-117.458538044000,34.274396627100,0.35,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,Weldon and Sieh (1985) Case 4 offset.,25,21,31,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,1-11,5,35,Weldon and Sieh (1985),yes
"San Andreas (San Bernardino, north)",703,CA,Cajon Pass,S-0217,SR-0326,-117.458538044000,34.274396627100,0.35,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,Weldon and Sieh (1985) Case 1 offset.,24,20,28,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),channel,C14,unlisted,11-130,5,35,Weldon and Sieh (1985),yes
"San Andreas (San Bernardino, north)",703,CA,Cajon Pass,S-0218,SR-0327,-117.458538044000,34.274396627100,0.35,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,Reported rate is average of four independently derived rates over different time intervals. See other entries for individual rates.,24.5,21,28,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,unlisted,5,35,Weldon and Sieh (1985),yes
"San Andreas (San Bernardino, south)",702,CA,Plunge Creek,S-0219,SR-0167,-117.136792792000,34.118462849700,0.63,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,McGill and others (2010; 2012) combine a trapezoidal-shaped pdf for the offset feature uncertainties and a triangular-shaped age pdf to calculate the pdf for the slip rate.  McGill and others (2012) report both the 95% confidence rates and a preferred ra,N/A,6.3,18.5,95% CI (author reported),horizontal,"reported (95% CI range listed in Appendix B, no pref value)",offset fan,C14,unlisted,1-11,5,35,McGill and others (2010); McGill and others (2012),yes
"San Andreas (San Bernardino, south)",702,CA,Plunge Creek,S-0220,SR-0168,-117.136792792000,34.118462849700,0.63,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,McGill and others (2010; 2012) combine a trapezoidal-shaped pdf for the offset feature uncertainties and a triangular-shaped age pdf to calculate the pdf for the slip rate.  McGill and others (2012) report both the 95% confidence rates and a preferred ra,N/A,7,15.7,95% CI (author reported),horizontal,"reported (95% CI range listed in Appendix B, no pref value)","terrace riser, channel edge",C14,unlisted,11-130,5,35,McGill and others (2010); McGill and others (2012),yes
"San Andreas (San Bernardino, south)",702,CA,Badger Canyon,S-0221,SR-0170,-116.887306833756,34.022248688032,0.7,SAFS-SAFZ-SBMT-San_Andreas_fault-CFM6,slip rate study,120-200 m offset of alluvial fan dated at 13-15 ka,11.8,8.3,16,unknown,horizontal,reported,alluvial fan,"luminescence, radiocarbon",unlisted,13-15,5,35,"McGill et al., (2021) Geosphere",no
Genoa (north),1172,NV,Jacks Valley-Walleys-Sturgis,S-0222,SR-0433,-119.847615143000,39.011055689300,237.8,N/A,slip rate study,3 trenches show two events with pref recurrence interval = 1.5 - 2ka and pref single event dip-slip (projected) displacement = 4-5 m,2.57,2,3.33,unknown (2sigma uncertainty in RC ages),projected (normal),reinterpreted (low = 4m/2 ka; high = 5m/1.2 ka; pref (average) = 4.5 m/1.75 ka),dip-slip (normal) displacement summed across trench exposures of complex fault zones,radiocarbon,2,from 0.5-0.6 to 2-2.2,1,5,"Ramelli et al., (1999) BSSA",no
Benton Spring (south),1006,NV,Mina1-BS,S-0223,SR-0438,-118.074761967000,38.416843690600,129.78,N/A,slip rate study,offset alluvial fan 34.5 +/- 1.5 m dated at 21.8 +/- 4.1 ka,1.5,1.3,1.7,95% CI (reported; averaged through origin using method of Zechar and Frankel),projected (strike-slip),reported,offset alluvial fan,10Be,unlisted,21.8 +/- 4.1,0.2,1,"Angster et al., (2019) Geosphere",no
Bettles Well - Petrified Springs,1008,NV,PS,S-0224,SR-0440,-118.167862519000,38.735578633000,166.01,N/A,slip rate study,offset behead channel incised into Qfi fan offset 92.5 +/- 0.5 m since 124 +/- 6 ka,0.9,0.7,1,95% CI (reported; averaged to origin using Zechar and Frankel method),projected (strike-slip),reported,beheaded channel,36Cl,unlisted,124 +/- 6,0.2,1,"Angster et al., (2019) Geosphere",no
Black Rock,1010,NV,Trench 1,S-0225,SR-0443,-119.052088264000,40.846311869700,405.62,N/A,slip rate study,offset tephra bed ~4m dated at between 18-25 ka at trench with 3 recorded events,0.19,0.16,0.22,unknown,unprojected (vertical),reinterpreted (low = 4m/25 ka; high = 4m/18ka; pref = 4m/21.5ka (average)),offset tephra beds,regional corellations,3?,18-25,0,0.2,Dodge (1982) thesis; Qfault page,no
Butte Mountains,1017,NV,Profile 1-4 midpoint,S-0226,SR-0450,-115.310254354000,39.752355162800,340.6,N/A,slip rate study,scarp heights ranging from 0.95-4.4 m tall estimated to be 18-25 ka,0.12,0.038,0.24,unknown,unprojected (vertical),reinterpreted (low = 0.95m/25 ka; high = 4.4 m/18ka; pref (averages) = 2.7 m/21.75ka),scarp heights,scarp morphology/diffusion estimation,2?,18-25,0,0.2,Koehler and Wesnousky (2011) Geosphere,no
Kings Canyon,1072,NV,Trench 3,S-0227,SR-0454,-119.797897444000,39.175751168800,250.81,N/A,slip rate study,evidence for 3-4 paleo earthquakes; trench scarp height + vertical displacement in trench together yield pref vertical offset of alluvial fan of 8.4 +/- 0.5 m since 4420-5260 cal yBP,1.74,1.5,2,unknown,unprojected (vertical),reported low and high rate (pref = 8.4 m/4840 calyBP (average),alluvial fan exposed at surface and in trench,radiocarbon,"3-4, though rate is averaged through open intervals on both ends",4.4-5.3,1,5,dePolo (2014) USGS FTR,no
Clan Alpine,1023,NV,Florence Canyon,S-0228,SR-0456,-117.851299945000,39.501454883800,245.35,N/A,slip rate study,7m of vertical displacement of alluvial fan dated at 130-250 ka,0.04,0.03,0.05,unknown,unprojected (vertical),reported (pref = 7 m/190 ka (average of ages)),alluvial fan,relative interpretations,1-2 (?),130 -250,0,0.2,"Machette et al, (2005) SIM",no
Clan Alpine,1023,NV,Star Canyon,S-0229,SR-0457,-117.843898568000,39.527308102300,248.17,N/A,slip rate study,19.4 m vertical scarp height within surface estimated to be 130-250 ka,0.1,0.08,0.15,unknown,unprojected (vertical),reported (pref = 19.4 m/190 ka (average of ages)),scarp height,relative/interpretative,unknown,130-250,0,0.2,dePolo (1998) PhD thesis,no
Dixie Valley,1032,NV,The Bend,S-0230,SR-0465,-118.201951200000,39.710397529100,272.17,N/A,slip rate study,42 m of vertical separation in Qfo alluvial fan estimated at 200 ka,0.21,0.2,1,unknown,unprojected (vertical),reinterpreted (42 m/200 ka),vertical separation of fan,relative/regional correlation estimate,unknown,200,0.2,1,Bell and Katzer (1990) Geology,no
Eglington,1048,NV,Las Vegas Valley,S-0231,SR-0479,-115.150302856000,36.295339272300,136.37,N/A,slip rate study,4.2 m of vertical displacement of layer D2 which occurred between 23.3 and 19.5 ka; max age of displacement = 27 ka,0.18,0.15,0.18,unknown,unprojected (vertical)-climate related/induced displacement,reinterpreted (max = pref = 4.2m/23.3 ka; min = 4.2m/27 ka),warping of D2 surface,unknown/prior study,1?,23.3-27,0,0.2,Springer and Pigati (2020) Geology,no
Freds Mountain,1054,NV,Profile 4,S-0232,SR-0485,-119.852183394000,39.673809170400,301.5,N/A,slip rate study,2.0 +/- 0.3 m of vertical separation in late to latest Pleistocene alluvial fan est at 15-126 ka,0.028,0.013,0.15,unknown,unprojected (vertical),reinterpreted (low = 1.7 m/126 ka; high = 2.3 m/15 ka; pref = 2.0 m/70.5 ka),vertical separation of alluvial fan,relative/regional correlation,unlisted,15-126,0,0.2,Koehler (2019) Geomorphology,no
Freds Mountain,1054,NV,"Profile 5,6",S-0233,SR-0486,-119.840316630000,39.704460174200,304.09,N/A,slip rate study,2.7 +/- 0.2 m and 0.7 +/- 0.3 m vertical separation on closely spaced scarp profiles across Holocene alluvial fan surface (Qfg) estimated to be,0.17,0.04,0.29,unknown,unprojected (vertical),reinterpreted ( low = 0.4 m/10ka; high = 2.9 m/10 ka; pref = 1.7 m/10 ka),vertical separation of alluvial fan,relative/regional age control,unlisted,unlisted,0,0.2,Koehler (2019) Geomorphology,no
Freds Mountain,1054,NV,"Profiles 1,2,3",S-0234,SR-0488,-119.833023523000,39.785651238200,311.94,N/A,slip rate study,"three closely spaced scarp profiles yield vertical separations of 7.1 +/- 0.3m, 9.2 +/- 0.2 m, 5.3 +/- 0.2m across same fan age estimated to be 50-175 ka",0.064,0.029,0.19,unknown,unprojected (vertical),"reinterpreted (merge profiles 1,2,3 together; low = 5.1 m/175 ka; high = 9.4 m/50 ka; pref = 7.2 m/112.5 ka)",vertical separation of alluvial fan,relative/regional correlation,unlisted,50-175,0,0.2,Koehler (2019) Geomorphology,no
